"id","kode_kelompok","kode_komoditi","nama","satuan_dasar","kalori_per_100g","protein_per_100g","lemak_per_100g","karbohidrat_per_100g","serat_per_100g","vitamin_c_per_100g","zat_besi_per_100g","kalsium_per_100g","musim_panen","asal_produksi","shelf_life_hari","harga_rata_per_kg","susut_min_persen","susut_max_persen","susut_keterangan","created_at","updated_at"
"13","03","0302","Gula Mangkok","kg","368.00","0.30","0.10","95.00","0.20","0.00","1.80","85.00","sepanjang_tahun","lokal","180","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"14","04","0401","Kacang Tanah Berkulit","kg","318.00","18.80","20.60","23.00","8.50","0.00","2.20","92.00","jan-mar","lokal","180","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"15","04","0402","Kacang Tanah Lepas Kulit","kg","567.00","25.80","49.20","16.00","8.50","0.00","2.90","92.00","jan-mar","lokal","180","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"16","04","0403","Kedelai","kg","354.00","3.30","33.50","15.00","9.00","3.30","2.40","14.00","sepanjang_tahun","lokal","60","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"17","04","0404","Kacang Hijau","kg","663.00","18.80","66.20","8.00","6.50","0.00","4.20","100.00","jul-sep","lokal","365","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"18","04","0405","Kelapa Daging","kg","573.00","17.70","49.70","23.00","11.80","0.00","14.60","975.00","apr-jun","campuran","180","45000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"20","05","0501","Alpokat","kg","160.00","2.00","14.70","9.00","6.70","10.00","0.60","12.00","okt-des","lokal","7","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"21","05","0502","Jeruk","kg","47.00","0.90","0.10","12.00","2.40","53.20","0.10","40.00","jul-sep","lokal","14","15000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"22","05","0503","Duku","kg","63.00","1.00","0.20","16.00","0.90","20.00","0.20","10.00","okt-des","lokal","7","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"23","05","0504","Durian","kg","147.00","1.50","5.30","27.00","3.80","19.70","0.40","6.00","jan-mar","lokal","7","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"24","05","0505","Jambu","kg","36.00","0.90","0.60","8.00","5.40","228.00","0.30","18.00","apr-jun","lokal","7","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"25","05","0506","Mangga","kg","60.00","0.80","0.40","15.00","1.60","36.40","0.20","11.00","okt-des","lokal","7","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"26","05","0507","Nanas","kg","193.00","20.80","8.80","9.40","1.40","0.00","4.00","155.00","sepanjang_tahun","lokal","3","10000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"27","05","0508","Pepaya","kg","187.00","13.00","6.00","22.60","2.30","0.00","2.20","96.00","sepanjang_tahun","lokal","2","7000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"28","05","0509","Pisang","kg","46.00","0.60","0.10","12.00","1.10","30.00","0.40","15.00","jul-sep","lokal","7","10000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"29","05","0510","Rambutan","kg","97.00","2.20","0.70","23.00","10.40","30.00","1.60","12.00","sepanjang_tahun","lokal","7","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"30","05","0511","Salak","kg","117.00","2.50","0.30","28.00","1.50","16.00","0.50","30.00","jan-mar","lokal","7","15000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"31","05","0512","Sawo","kg","60.00","1.20","0.40","13.00","3.00","20.50","1.90","8.00","sepanjang_tahun","lokal","7","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"32","05","0513","Anggur","kg","62.00","0.60","0.20","16.00","0.90","3.20","0.40","10.00","sepanjang_tahun","impor","14","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"33","05","0514","Semangka","kg","30.00","0.60","0.20","8.00","0.40","8.10","0.20","7.00","jul-sep","lokal","14","6000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"34","05","0515","Belimbing","kg","31.00","1.00","0.30","7.00","2.80","34.40","0.10","3.00","sepanjang_tahun","lokal","7","15000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"35","05","0516","Manggis","kg","73.00","1.40","0.60","18.00","1.80","5.70","0.30","12.00","okt-des","lokal","7","40000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"36","05","0517","Nangka","kg","95.00","1.70","0.60","23.00","1.50","13.70","0.20","24.00","jan-mar","lokal","7","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"37","05","0518","Markisa","kg","83.00","0.40","1.10","20.00","5.30","14.70","0.80","21.00","jul-sep","lokal","7","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"38","05","0519","Sirsak","kg","66.00","1.00","0.30","17.00","3.30","20.60","0.60","14.00","okt-des","lokal","7","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"39","05","0520","Sukun","kg","103.00","1.10","0.20","27.00","4.90","29.00","0.50","17.00","jan-mar","lokal","7","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"41","05","0522","Apel","kg","52.00","0.30","0.20","14.00","2.40","4.60","0.10","6.00","sepanjang_tahun","impor","30","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"42","05","0523","Jambu Air","kg","25.00","0.60","0.30","6.00","1.00","22.30","0.10","5.00","sepanjang_tahun","lokal","7","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"43","05","0524","Melon","kg","34.00","0.80","0.20","8.00","0.90","36.70","0.20","9.00","jul-sep","lokal","14","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"44","05","0525","Stroberi","kg","32.00","0.70","0.30","8.00","2.00","58.80","0.40","16.00","jul-sep","lokal","5","50000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"45","05","0526","Blewah","kg","36.00","0.90","0.20","9.00","0.90","36.70","0.20","9.00","jul-sep","lokal","10","9000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"46","05","0527","Lemon","kg","29.00","1.10","0.30","9.00","2.80","53.00","0.60","26.00","sepanjang_tahun","impor","21","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"47","05","0528","Jeruk Besar","kg","42.00","0.80","0.10","11.00","1.60","44.00","0.10","23.00","jul-sep","lokal","14","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"48","05","0529","Kurma","kg","277.00","1.80","0.20","75.00","6.70","0.00","0.90","64.00","sepanjang_tahun","impor","365","60000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"49","05","0530","Tin","kg","74.00","0.80","0.30","19.00","2.90","2.00","0.40","35.00","jul-sep","lokal","7","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"50","05","0531","Pir","kg","57.00","0.40","0.10","15.00","3.10","4.30","0.20","9.00","sepanjang_tahun","impor","21","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"51","05","0532","Aprikot","kg","48.00","1.40","0.40","11.00","2.00","10.00","0.40","13.00","jul-sep","impor","7","55000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"52","05","0533","Rasberi","kg","52.00","1.20","0.70","12.00","6.50","26.20","0.70","25.00","jul-sep","impor","3","80000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"53","05","0534","Kiwi","kg","61.00","1.10","0.50","15.00","3.00","92.70","0.30","34.00","sepanjang_tahun","impor","14","45000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"54","05","0535","Kesemek","kg","70.00","0.60","0.20","19.00","3.60","7.50","0.20","8.00","okt-des","lokal","14","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"55","05","0536","Lengkeng","kg","60.00","1.30","0.10","15.00","1.10","84.00","0.10","1.00","jul-sep","lokal","7","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"56","05","0537","Leci","kg","66.00","0.80","0.40","17.00","1.30","71.50","0.30","5.00","okt-des","lokal","7","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"57","05","0538","Buah Naga","kg","350.00","7.00","18.00","40.00","5.00","100.00","3.00","50.00","jan-mar","lokal","7","80000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"58","06","0601","Bawang Merah","kg","40.00","1.10","0.10","9.30","1.70","7.40","0.20","23.00","apr-jun","lokal","90","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"59","06","0602","Timun","kg","15.00","0.70","0.10","3.60","0.50","2.80","0.30","16.00","sepanjang_tahun","lokal","7","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"60","06","0603","Kacang Merah","kg","333.00","22.10","1.50","61.30","15.50","4.50","6.70","143.00","apr-jun","lokal","365","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"61","06","0604","Kacang Panjang","kg","47.00","2.70","0.40","8.40","3.30","18.80","1.00","50.00","sepanjang_tahun","lokal","7","10000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"62","06","0605","Kentang","kg","77.00","2.00","0.10","17.50","2.20","19.70","0.80","12.00","apr-jun","lokal","60","10000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"63","06","0606","Kubis","kg","25.00","1.30","0.10","5.80","2.50","36.60","0.50","40.00","sepanjang_tahun","lokal","30","7000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"64","06","0607","Tomat","kg","18.00","0.90","0.20","3.90","1.20","13.70","0.30","10.00","sepanjang_tahun","lokal","14","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"65","06","0608","Wortel","kg","41.00","0.90","0.20","9.60","2.80","5.90","0.30","33.00","jul-sep","lokal","30","10000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"66","06","0609","Cabai","kg","40.00","1.90","0.40","9.50","1.50","144.00","1.00","14.00","jan-mar","lokal","14","50000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"67","06","0610","Terong","kg","25.00","1.00","0.20","5.90","3.00","2.20","0.20","9.00","sepanjang_tahun","lokal","7","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"68","06","0611","Sawi","kg","22.00","2.00","0.20","4.00","1.50","45.00","1.70","220.00","sepanjang_tahun","lokal","7","7000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"69","06","0612","Daun Bawang","kg","30.00","2.00","0.30","6.00","2.00","20.00","1.00","40.00","sepanjang_tahun","lokal","7","15000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"70","06","0613","Kangkung","kg","19.00","2.60","0.20","3.40","1.20","55.00","2.30","73.00","sepanjang_tahun","lokal","3","5000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"71","06","0614","Lobak","kg","16.00","0.70","0.10","3.40","1.60","14.80","0.30","25.00","jul-sep","lokal","14","8000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"72","06","0615","Labu Siam","kg","19.00","0.80","0.10","4.50","1.70","7.70","0.30","17.00","sepanjang_tahun","lokal","14","7000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"73","06","0616","Buncis","kg","31.00","1.80","0.10","7.00","2.70","12.20","1.00","37.00","jul-sep","lokal","7","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"74","06","0617","Bayam","kg","23.00","2.90","0.40","3.60","2.20","28.10","2.70","99.00","sepanjang_tahun","lokal","5","6000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"75","06","0618","Bawang Putih","kg","149.00","6.40","0.50","33.10","2.10","31.20","1.70","181.00","apr-jun","lokal","180","40000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"76","06","0619","Kembang Kol","kg","25.00","1.90","0.30","5.00","2.00","48.20","0.40","22.00","jul-sep","lokal","14","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"77","06","0620","Jamur","kg","22.00","3.10","0.30","3.30","1.00","2.10","0.50","3.00","sepanjang_tahun","lokal","3","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"78","06","0621","Melinjo","kg","101.00","9.90","0.50","15.00","3.00","13.00","1.00","58.00","sepanjang_tahun","lokal","7","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"79","06","0622","Petai","kg","142.00","5.80","0.40","27.50","3.70","21.00","1.10","27.00","jan-mar","lokal","7","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"81","06","0624","Jengkol","kg","192.00","5.40","0.30","43.00","1.50","80.00","4.70","140.00","jan-mar","lokal","14","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"82","06","0625","Bawang Bombay","kg","40.00","1.10","0.10","9.30","1.70","7.40","0.20","23.00","sepanjang_tahun","impor","60","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"83","06","0626","Seledri","kg","19.00","3.00","0.20","3.10","1.00","55.00","2.50","73.00","sepanjang_tahun","lokal","2","5000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"84","06","0627","Asparagus","kg","20.00","2.20","0.10","3.90","2.10","5.60","2.10","24.00","sepanjang_tahun","impor","7","45000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"85","06","0628","Selada","kg","15.00","1.40","0.20","2.90","1.30","9.20","0.90","36.00","sepanjang_tahun","lokal","7","15000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"86","06","0629","Kacang Kapri","kg","42.00","2.80","0.20","7.60","2.60","60.00","1.50","25.00","jul-sep","lokal","7","15000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"87","06","0630","Paprika","kg","31.00","1.00","0.30","6.00","2.10","127.70","0.40","7.00","sepanjang_tahun","lokal","14","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"89","06","0632","Jamur Merang","kg","28.00","3.60","0.50","4.30","1.70","0.00","1.50","3.00","sepanjang_tahun","lokal","2","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"90","06","0633","Jamur Tiram","kg","33.00","3.30","0.40","6.10","2.30","0.00","1.30","3.00","sepanjang_tahun","lokal","3","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"91","06","0634","Cabai Rawit","kg","103.00","4.70","2.40","19.90","8.80","70.00","2.50","45.00","sepanjang_tahun","lokal","14","80000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"92","06","0635","Cabai Keriting","kg","31.00","1.00","0.30","7.30","1.50","84.00","0.50","29.00","sepanjang_tahun","lokal","14","60000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"93","06","0636","Cabai Besar","kg","32.00","1.00","0.30","7.00","2.00","190.00","0.50","18.00","sepanjang_tahun","lokal","14","45000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"94","07","0701","Daging Sapi","kg","250.00","18.80","19.00","0.00","0.00","0.00","2.60","12.00","sepanjang_tahun","lokal","3","120000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"95","07","0702","Daging Kerbau","kg","110.00","20.00","2.50","0.00","0.00","0.00","1.00","20.00","sepanjang_tahun","lokal","2","40000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"96","07","0703","Daging Kambing","kg","143.00","20.60","6.00","0.00","0.00","0.00","2.80","10.00","sepanjang_tahun","lokal","3","100000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"97","07","0704","Daging Domba","kg","193.00","42.00","1.50","0.00","0.00","0.00","3.00","200.00","sepanjang_tahun","lokal","180","45000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"98","07","0705","Daging Kuda","kg","99.00","20.30","1.40","0.20","0.00","0.00","3.10","136.00","sepanjang_tahun","lokal","1","80000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"99","07","0706","Daging Babi","kg","87.00","18.10","1.00","0.00","0.00","0.00","1.80","120.00","sepanjang_tahun","lokal","1","100000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"100","07","0707","Daging Ayam Buras","kg","165.00","21.00","8.00","0.00","0.00","0.00","1.00","15.00","sepanjang_tahun","lokal","3","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"101","07","0708","Daging Ayam Ras","kg","148.00","25.60","2.00","5.10","0.00","0.00","24.00","46.00","sepanjang_tahun","lokal","1","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"102","07","0709","Daging Bebek","kg","92.00","15.60","1.40","3.10","0.00","0.00","0.70","32.00","sepanjang_tahun","lokal","1","70000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"103","07","0710","Jeroan","kg","120.00","20.00","3.00","2.00","0.00","0.00","2.00","60.00","sepanjang_tahun","lokal","2","60000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"104","07","0711","Daging Puyuh","kg","134.00","21.80","4.50","0.00","0.00","0.00","4.50","15.00","sepanjang_tahun","lokal","2","85000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"105","08","0801","Telur Ayam Buras","kg","154.00","12.80","10.80","0.70","0.00","0.00","2.80","54.00","sepanjang_tahun","lokal","30","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"106","08","0802","Telur Ayam Ras","kg","143.00","12.60","9.50","0.60","0.00","0.00","2.70","48.00","sepanjang_tahun","lokal","30","28000.00","5.00","10.00",NULL,"2026-01-20 01:21:35","2026-01-20 01:21:35"
"107","08","0803","Telur Bebek","kg","185.00","13.30","14.00","1.20","0.00","0.00","2.70","60.00","sepanjang_tahun","lokal","30","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"108","09","0901","Susu Sapi","liter","61.00","3.20","3.50","4.80","0.00","1.50","0.10","120.00","sepanjang_tahun","lokal","3","12000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"109","09","0902","Susu Impor","liter","65.00","3.40","3.80","5.00","0.00","2.00","0.10","125.00","sepanjang_tahun","impor","7","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"110","10","1001","Minyak Kacang Tanah","liter","884.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","365","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"111","10","1002","Minyak Goreng Kelapa","liter","884.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","365","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"112","10","1003","Minyak Sawit","liter","884.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","365","20000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"113","10","1004","Minyak Goreng Sawit","liter","884.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","365","18000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"114","10","1005","Lemak Sapi","kg","902.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","180","30000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"115","10","1006","Lemak Kerbau","kg","902.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","180","25000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"116","10","1007","Lemak Kambing","kg","902.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","180","35000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"117","10","1008","Lemak Domba","kg","902.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","180","40000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
"118","10","1009","Lemak Babi","kg","902.00","0.00","100.00","0.00","0.00","0.00","0.00","0.00","sepanjang_tahun","lokal","365","45000.00","5.00","10.00",NULL,"2026-01-20 01:21:36","2026-01-20 01:21:36"
